t10,t11,water_vapor,emissivity_10,emissivity_11,lst
304.00677080323,300.393684956326,3.03247353780704,0.987,0.989,309.6222369028293
295.08174321095356,293.6790011621328,1.10237759796326,0.987,0.989,297.5323510595288
271.84327673175466,272.2762377567659,0.613369843327999,0.98110754214239,0.9845806566067925,273.5027961761514
310.2716443045105,309.5401638909412,0.519408074083593,0.971,0.977,312.5678503166499
286.10144243678064,284.88208335116747,1.27869219167185,0.9793239618646307,0.983242971398473,289.0441881788552
290.1481647711361,289.8328390693524,0.29731034245385,0.987,0.989,291.5713406225995
281.34216252959453,281.08759326392925,0.428939480783533,0.971,0.977,283.3998619711523
267.2052201994682,266.57321530883524,0.453355407407407,0.971,0.977,269.4105280457148
297.18634313088404,294.5236236161651,2.63702468322904,0.987,0.989,301.9816799221147
275.35509750754346,275.23946507561,0.234429342592592,0.971,0.977,277.1642345908562
